Liberia,4533,4117,3836,3581,3400,933,547,1090,1879,2128
Lithuania,4396,4815,5442,6709,5526,2496,937,3111,4571,4717
Luxembourg,1399,1593,1683,1745,2041,857,492,1604,2708,2979
Madagascar,1435,1622,1644,1728,2098,794,278,2000,2864,3145
Malawi,1732,1882,1913,2064,1837,631,310,2196,2870,3006
Malaysia,36240,35054,37364,39226,37216,14584,4609,22271,39072,34100
Mali,1951,2604,2276,2781,2810,1203,495,1371,2259,2477
Malta,627,712,711,783,767,373,368,1911,2354,1728
Marshall Islands,655,577,380,388,443,310,166,22,449,272
Mauritania,1466,1290,766,319,1780,563,308,588,911,778
Mauritius,3435,3462,3194,3609,3610,1441,1137,3545,3857,3999
Mexico,1487248,1406935,1391826,1379389,1482043,965485,917722,1734776,2336829,2416776
Micronesia,542,559,293,271,225,151,186,338,625,464
Moldova,6160,6969,5225,3649,3160,2080,924,3677,6221,4250
Mongolia,9969,9896,8778,8059,9357,4428,1649,7262,13264,18644
Montenegro,5391,6095,7042,7983,6935,2164,2201,6728,6994,7394
Morocco,17002,15825,12771,10649,14771,8505,7014,16583,24019,29738
Mozambique,2665,2727,2092,2279,2112,886,545,2154,2726,2427
Namibia,1548,1815,2065,1583,2076,2051,824,529,2207,3294
Nepal,19049,23607,21893,17415,18207,8180,8837,23702,33304,34892
Netherlands,21544,24769,26840,26976,26317,14558,3451,11032,18846,22641
New Zealand,13288,15452,12940,13071,14829,7112,3111,6580,12112,13322
Nicaragua,19122,18550,18227,10044,11304,7139,4723,16504,16088,16273
Niger,1355,1398,0,1432,1367,562,306,1140,686,979
Nigeria,143430,168383,159001,132219,78996,26700,22190,71890,91593,63313
North Macedonia,7634,7862,7937,8051,6679,1903,936,4157,6509,5905
Norway,11534,11313,10639,11067,10459,4607,3906,7669,10092,10193
Oman,9593,8839,8553,11269,11859,4791,4103,9139,10491,11142
Pakistan,52167,55662,42129,40532,37832,25769,17203,54159,73163,86724
Palau,121,143,140,162,213,148,199,524,510,283
